id,language,type,status,url,title,word_count,n_images,parent_id,WAGTAIL_TYPE,WAGTAIL_PARENT,ACTION,NOTES,shortcodes,wp_blocks,spam_hits,preview
623,RU (default),page,publish,https://toponymics-live.net/en/resources/,Resources,2251,0,0,,,,,Lecture,,,"Studies in Indigenous Toponymy In Russian Аврорин, В.А. и Козьминский И.Н. Представления орочей о вселенной, о переселении душ и путешествиях шаманов, изображенные на «карте» // Сборник музея антропол"
19,RU (default),page,publish,https://toponymics-live.net/resursy/,Ресурсы,2252,0,0,,,,,Lecture,,,"Исследования по индигенной картографии На русском языке Аврорин, В.А. и Козьминский И.Н. Представления орочей о вселенной, о переселении душ и путешествиях шаманов, изображенные на «карте» // Сборник "
615,RU (default),page,publish,https://toponymics-live.net/en/how-to-use-the-platform/,How to use the Platform,476,0,0,,,,,8226,,,How do you add a new place-name (toponym)? Go to the Platform page. Click the “Add a new toponym” button. You will then see a table like this: Click on the point where you want to add a toponym (e.g. 
206,RU (default),page,publish,https://toponymics-live.net/kak-polzovatsya-platformoy/,Как пользоваться Платформой,340,1,0,,,,,,,,"Как добавить новое название места (топоним)? Перейдите на страницу Платформа. Нажмите на кнопку «Добавьте новый топоним». Вы увидите такую таблицу 👇 Кликните туда, где необходимо создать топоним (напр"
681,RU (default),page,publish,https://toponymics-live.net/en/what-exactly-is-a-toponymic-platform/,What exactly is a toponymic platform,997,1,0,,,,,,,,This website is currently under maintenance. We apologise for the inconvenience. Many geographical features have their own unique names – toponyms. For the indigenous peoples of the world and those st
160,RU (default),page,publish,https://toponymics-live.net/,Топонимическая платформа: что это?,806,1,0,,,,,,,,"На сайте сейчас ведутся технические работы. Приносим извинения за неудобства. Многие географические объекты имеют свои уникальные имена — топонимы. Для коренных народов мира, ведущих традиционный обра"
677,RU (default),page,publish,https://toponymics-live.net/en/photo-gallery/,Photo Gallery,3,20,0,,,,,,,,Project Participants Places
459,RU (default),page,publish,https://toponymics-live.net/fotogalereya-albomy/,Фотогалерея,3,20,0,,,,,,,,Участники проекта Места
580,RU (default),page,publish,https://toponymics-live.net/en/what-is/,What is Indigenous Cartography,4683,8,0,,,,,"Along, Bulletin, Collection, Oroch, The, Yukagir, cherry, chum, humpbacked, the",,,This section is a short digression into the history of the study of indigenous cartography and toponymy of the indigenous peoples of Northern Russia and Siberia. Interest in indigenous maps and place-
249,RU (default),page,publish,https://toponymics-live.net/chto-takoe-indigennaya-kartografiya/,Что такое индигенная картография,3331,8,0,,,,,,,,Данный раздел представляет собой небольшой экскурс в историю изучения индигенной картографии и топонимики коренных народов Севера и Сибири. Интерес к индигенным картам и названиям мест на языках корен
669,RU (default),page,publish,https://toponymics-live.net/en/cartography-and-toponymy/,Cartography and Toponymy,0,0,0,,,,,,,,
245,RU (default),page,publish,https://toponymics-live.net/kartografiya-i-toponimika/,Картография и топонимика,0,0,0,,,,,,,,
588,RU (default),page,publish,https://toponymics-live.net/en/about-the-project/how-to-collect/,How to collect place-names,630,0,662,,,,,,,,This guide is written for members of indigenous communities who are interested in local place-names (toponyms) and would like to document them in order to preserve their cultural heritage. A toponym i
191,RU (default),page,publish,https://toponymics-live.net/o-proekte/kak-sobirat-nazvaniya-mest/,Как собирать названия мест,505,0,43,,,,,,,,"Данное руководство написано для представителей сообществ коренных народов, которые интересуются локальными названиями мест (топонимами) и хотели бы документировать их в целях сохранения своего культур"
651,RU (default),page,publish,https://toponymics-live.net/en/about-the-project/contacts/,Contacts,49,0,662,,,,,,,,"If you experience any difficulties in uploading the data by yourself, or cannot find the name of the place on the map, you can submit its approximate coordinates or contact us. We will be happy to hel"
49,RU (default),page,publish,https://toponymics-live.net/o-proekte/kontakty/,Контакты,35,0,43,,,,,,,,"Если вам сложно загрузить данные самостоятельно или названия места не видно на карте, вы можете указать его примерные координаты или связаться с нами. Мы Вам поможем! Для этого напишите нам на почту и"
47,RU (default),page,publish,https://toponymics-live.net/o-proekte/faq/,FAQ,0,0,43,,,,,,,,
596,RU (default),page,publish,https://toponymics-live.net/en/about-the-project/project-material/,Project materials,969,5,662,,,,,8226,,,"The live toponymic platform consists of three components: the Ewenki toponymic database, the GIS platform itself, and the website. The Ewenki toponymic database contains place-names from both archival"
45,RU (default),page,publish,https://toponymics-live.net/o-proekte/materialy-proekta/,Материалы проекта,758,5,43,,,,,,,,"Живая топонимическая платформа состоит из трех компонентов: эвенкийская топонимическая база данных, собственно ГИС-платформа и веб-сайт. Эвенкийская топонимическая база данных содержит названия мест к"
662,RU (default),page,publish,https://toponymics-live.net/en/about-the-project/,About The Project,0,0,0,,,,,,,,
43,RU (default),page,publish,https://toponymics-live.net/o-proekte/,О проекте,0,0,0,,,,,,,,
35,RU (default),page,publish,https://toponymics-live.net/pravila-ispolzovaniya-sayta/,Правила использования сайта,0,0,0,,,,,,,,
